size,branch_length,id,clustering_distance
19,0.4828,0-4828_Phy008NYXH_PUCGT,0.5678839653053154
18,0.1780,0-1780_Phy008O9U2_PUCGT,0.4444224676151821
18,0.2334,0-2334_Phy008O82G_PUCGT,0.5288133366295176
10,0.5794,0-5794_Phy008O3FH_PUCGT,0.4350461338055229
11,0.7606,0-7606_Phy008O65F_PUCGT,0.6064846179432192
17,0.2348,0-2348_Phy008OAD8_PUCGT,0.6634092946559083
13,0.1408,0-1408_Phy008O938_PUCGT,0.8013523630546341
10,0.2544,0-2544_Phy008NZ6B_PUCGT,0.7055802770701478
12,0.3834,0-3834_Phy008O7GI_PUCGT,0.6131638531019828
12,0.3465,0-3465_Phy008OAYW_PUCGT,0.3745865606977452
10,0.5719,0-5719_Phy008O53D_PUCGT,0.7978416738744103
16,0.9241,0-9241_Phy008O4KC_PUCGT,0.4860055688587489
12,0.7111,0-7111_Phy008O623_PUCGT,0.7214241892059507
11,0.3292,0-3292_Phy008O7OF_PUCGT,0.68274265913261
15,0.2336,0-2336_Phy008O30Z_PUCGT,0.5905529733676061
11,0.1187,0-1187_Phy008NZS8_PUCGT,0.37335159505446813
12,0.3095,0-3095_Phy008O7MF_PUCGT,0.6757552843209857
19,0.3511,0-3511_Phy008NZVJ_PUCGT,0.63087727066003
22,0.4796,0-4796_Phy008O6HH_PUCGT,0.43414768987733665
10,0.2660,0-2660_Phy008O7K1_PUCGT,0.6402090082813556
22,0.3650,0-3650_Phy008O2C9_PUCGT,0.659147710555243
16,0.3704,0-3704_Phy008O3XF_PUCGT,0.6481416920588025
11,0.7643,0-7643_Phy008NYUN_PUCGT,0.5797463139881587
11,0.5010,0-5010_Phy008O4NH_PUCGT,0.6709491741517875
20,0.1976,0-1976_Phy008O6FV_PUCGT,0.6511706039298096
13,0.4876,0-4876_Phy008NZ6D_PUCGT,0.685442926697227
10,0.3978,0-3978_Phy008O9YG_PUCGT,0.33047882710648036
13,0.6918,0-6918_Phy008O2GX_PUCGT,0.6711041387303927
20,0.2796,0-2796_Phy008NZ68_PUCGT,0.5063731663277352
19,0.1374,0-1374_Phy008O5P7_PUCGT,0.4259595245363569
11,0.2071,0-2071_Phy008O4KN_PUCGT,0.6683482584852162
